age,capital-gain,capital-loss,hours-per-week,education-num,workclass,marital-status,occupation,relationship,sex
39,2174,0,40,13,State-gov,Never-married,Adm-clerical,Not-in-family,Male
50,0,0,13,13,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male
38,0,0,40,9,Private,Divorced,Handlers-cleaners,Not-in-family,Male
53,0,0,40,7,Private,Married-civ-spouse,Handlers-cleaners,Husband,Male
28,0,0,40,13,Private,Married-civ-spouse,Prof-specialty,Wife,Female
37,0,0,40,14,Private,Married-civ-spouse,Exec-managerial,Wife,Female
49,0,0,16,5,Private,Married-spouse-absent,Other-service,Not-in-family,Female
52,0,0,45,9,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male
31,14084,0,50,14,Private,Never-married,Prof-specialty,Not-in-family,Female
42,5178,0,40,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
37,0,0,80,10,Private,Married-civ-spouse,Exec-managerial,Husband,Male
30,0,0,40,13,State-gov,Married-civ-spouse,Prof-specialty,Husband,Male
23,0,0,30,13,Private,Never-married,Adm-clerical,Own-child,Female
32,0,0,50,12,Private,Never-married,Sales,Not-in-family,Male
34,0,0,45,4,Private,Married-civ-spouse,Transport-moving,Husband,Male
25,0,0,35,9,Self-emp-not-inc,Never-married,Farming-fishing,Own-child,Male
32,0,0,40,9,Private,Never-married,Machine-op-inspct,Unmarried,Male
38,0,0,50,7,Private,Married-civ-spouse,Sales,Husband,Male
43,0,0,45,14,Self-emp-not-inc,Divorced,Exec-managerial,Unmarried,Female
40,0,0,60,16,Private,Married-civ-spouse,Prof-specialty,Husband,Male
54,0,0,20,9,Private,Separated,Other-service,Unmarried,Female
35,0,0,40,5,Federal-gov,Married-civ-spouse,Farming-fishing,Husband,Male
43,0,2042,40,7,Private,Married-civ-spouse,Transport-moving,Husband,Male
59,0,0,40,9,Private,Divorced,Tech-support,Unmarried,Female
56,0,0,40,13,Local-gov,Married-civ-spouse,Tech-support,Husband,Male
19,0,0,40,9,Private,Never-married,Craft-repair,Own-child,Male
39,0,0,80,9,Private,Divorced,Exec-managerial,Not-in-family,Male
49,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
23,0,0,52,12,Local-gov,Never-married,Protective-serv,Not-in-family,Male
20,0,0,44,10,Private,Never-married,Sales,Own-child,Male
45,0,1408,40,13,Private,Divorced,Exec-managerial,Own-child,Male
30,0,0,40,10,Federal-gov,Married-civ-spouse,Adm-clerical,Own-child,Male
22,0,0,15,10,State-gov,Married-civ-spouse,Other-service,Husband,Male
48,0,0,40,7,Private,Never-married,Machine-op-inspct,Unmarried,Male
21,0,0,40,10,Private,Never-married,Machine-op-inspct,Own-child,Male
19,0,0,25,9,Private,Married-AF-spouse,Adm-clerical,Wife,Female
48,0,0,40,12,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male
31,0,0,43,5,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
53,0,0,40,13,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male
24,0,0,50,13,Private,Married-civ-spouse,Tech-support,Husband,Male
49,0,0,40,9,Private,Separated,Adm-clerical,Unmarried,Female
25,0,0,35,9,Private,Never-married,Handlers-cleaners,Not-in-family,Male
57,0,0,40,13,Federal-gov,Married-civ-spouse,Prof-specialty,Husband,Male
53,0,0,38,9,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
44,0,0,40,14,Private,Divorced,Exec-managerial,Unmarried,Female
41,0,0,40,11,State-gov,Married-civ-spouse,Craft-repair,Husband,Male
29,0,0,43,11,Private,Never-married,Prof-specialty,Not-in-family,Male
25,0,0,40,10,Private,Married-civ-spouse,Exec-managerial,Wife,Female
47,0,1902,60,15,Private,Married-civ-spouse,Prof-specialty,Wife,Female
50,0,0,55,13,Federal-gov,Divorced,Exec-managerial,Not-in-family,Male
47,0,0,60,9,Self-emp-inc,Divorced,Exec-managerial,Not-in-family,Male
43,0,0,40,10,Private,Married-civ-spouse,Tech-support,Husband,Male
46,0,0,40,3,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
35,0,0,40,11,Private,Married-civ-spouse,Other-service,Husband,Male
41,0,0,48,9,Private,Married-civ-spouse,Adm-clerical,Husband,Male
30,5013,0,40,9,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
30,2407,0,40,13,Private,Married-civ-spouse,Sales,Husband,Male
48,0,0,40,9,Private,Married-civ-spouse,Transport-moving,Husband,Male
42,0,0,45,16,Private,Married-civ-spouse,Prof-specialty,Husband,Male
29,0,0,58,10,Private,Divorced,Tech-support,Not-in-family,Male
36,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
28,0,0,40,10,Private,Divorced,Adm-clerical,Not-in-family,Female
53,0,0,40,9,Private,Married-civ-spouse,Adm-clerical,Wife,Female
49,0,0,50,10,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male
19,0,0,32,10,Private,Never-married,Prof-specialty,Own-child,Male
31,0,0,40,13,Private,Separated,Sales,Own-child,Female
29,0,0,70,13,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male
23,0,0,40,10,Private,Never-married,Machine-op-inspct,Not-in-family,Male
79,0,0,20,10,Private,Married-civ-spouse,Prof-specialty,Other-relative,Male
27,0,0,40,9,Private,Never-married,Other-service,Own-child,Male
40,0,0,40,12,Private,Married-civ-spouse,Adm-clerical,Husband,Male
18,0,0,22,7,Private,Never-married,Other-service,Own-child,Female
31,0,0,40,4,Local-gov,Married-civ-spouse,Farming-fishing,Husband,Male
18,0,0,30,9,Private,Never-married,Sales,Not-in-family,Male
52,0,0,40,13,Private,Married-civ-spouse,Other-service,Husband,Male
46,0,0,40,9,Private,Married-civ-spouse,Other-service,Wife,Female
59,0,0,48,9,Private,Married-civ-spouse,Sales,Husband,Male
44,14344,0,40,9,Private,Divorced,Craft-repair,Not-in-family,Female
53,0,0,35,9,Private,Divorced,Sales,Own-child,Female
49,0,0,40,9,Local-gov,Married-civ-spouse,Protective-serv,Husband,Male
33,0,0,50,14,Private,Married-civ-spouse,Prof-specialty,Husband,Male
30,0,0,40,5,Private,Never-married,Sales,Not-in-family,Male
43,0,0,50,16,Federal-gov,Never-married,Prof-specialty,Not-in-family,Female
57,0,0,40,11,Private,Married-civ-spouse,Prof-specialty,Husband,Male
37,0,0,40,10,Private,Divorced,Craft-repair,Unmarried,Female
28,0,0,25,10,Private,Divorced,Machine-op-inspct,Unmarried,Female
34,0,0,40,13,Local-gov,Married-civ-spouse,Protective-serv,Husband,Male
29,0,0,50,10,Local-gov,Never-married,Handlers-cleaners,Not-in-family,Male
48,0,1902,60,16,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male
37,0,0,48,10,Private,Married-civ-spouse,Sales,Husband,Male
48,0,0,40,12,Private,Divorced,Exec-managerial,Unmarried,Female
32,0,0,40,9,Federal-gov,Never-married,Other-service,Own-child,Male
76,0,0,40,14,Private,Married-civ-spouse,Exec-managerial,Husband,Male
44,15024,0,60,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
47,0,0,50,14,Self-emp-not-inc,Never-married,Prof-specialty,Not-in-family,Female
20,0,0,40,10,Private,Never-married,Tech-support,Own-child,Female
29,0,0,40,9,Private,Never-married,Craft-repair,Not-in-family,Male
32,7688,0,40,9,Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male
30,0,0,40,7,Private,Never-married,Handlers-cleaners,Own-child,Male
31,0,0,40,9,Local-gov,Never-married,Adm-clerical,Not-in-family,Female
42,0,0,40,9,Private,Married-civ-spouse,Handlers-cleaners,Husband,Male
24,0,0,40,13,Private,Never-married,Sales,Other-relative,Male
38,0,0,40,15,Private,Married-civ-spouse,Prof-specialty,Husband,Male
56,0,1887,50,9,Self-emp-not-inc,Married-civ-spouse,Other-service,Husband,Male
28,4064,0,25,10,Private,Married-civ-spouse,Sales,Wife,Female
36,0,0,40,9,Private,Never-married,Machine-op-inspct,Own-child,Female
53,0,0,50,5,Private,Married-civ-spouse,Handlers-cleaners,Husband,Male
56,0,0,50,10,Self-emp-inc,Married-civ-spouse,Sales,Husband,Male
49,0,0,40,11,Local-gov,Married-civ-spouse,Craft-repair,Husband,Male
55,0,0,56,10,Private,Married-civ-spouse,Sales,Husband,Male
22,0,0,41,9,Private,Never-married,Craft-repair,Not-in-family,Male
21,0,0,40,10,Private,Never-married,Other-service,Own-child,Female
40,0,0,60,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
30,0,0,40,13,Private,Never-married,Exec-managerial,Own-child,Male
29,0,0,50,13,State-gov,Married-civ-spouse,Prof-specialty,Husband,Male
19,0,0,35,10,Private,Never-married,Other-service,Own-child,Male
47,0,0,40,13,Private,Married-civ-spouse,Exec-managerial,Wife,Female
20,0,1719,28,10,Private,Never-married,Adm-clerical,Own-child,Female
31,0,0,40,12,Private,Married-civ-spouse,Adm-clerical,Husband,Male
39,0,0,40,10,Private,Divorced,Craft-repair,Not-in-family,Male
28,0,0,60,12,Private,Never-married,Sales,Not-in-family,Female
24,0,1762,40,9,Private,Never-married,Other-service,Not-in-family,Female
38,4386,0,35,9,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male
37,0,0,50,13,Private,Married-civ-spouse,Sales,Husband,Male
46,0,0,36,12,Private,Divorced,Tech-support,Not-in-family,Female
38,0,0,40,14,Federal-gov,Married-civ-spouse,Prof-specialty,Husband,Male
43,0,0,60,9,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male
27,0,0,35,11,Private,Married-civ-spouse,Adm-clerical,Wife,Female
20,0,0,20,10,Private,Never-married,Sales,Own-child,Male
49,0,0,40,10,Private,Married-civ-spouse,Craft-repair,Husband,Male
61,0,0,40,9,Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male
27,0,0,40,10,Private,Never-married,Sales,Own-child,Female
19,0,0,30,10,Private,Never-married,Other-service,Own-child,Male
45,0,1564,40,11,Private,Never-married,Prof-specialty,Not-in-family,Female
70,0,0,40,10,Private,Never-married,Tech-support,Other-relative,Male
31,0,0,30,9,Private,Never-married,Transport-moving,Unmarried,Female
22,0,0,24,10,Private,Married-civ-spouse,Other-service,Husband,Male
36,0,0,24,9,Private,Widowed,Other-service,Unmarried,Female
64,0,2179,40,7,Private,Married-civ-spouse,Craft-repair,Husband,Male
47,0,0,38,10,Local-gov,Divorced,Adm-clerical,Unmarried,Female
34,0,0,40,9,Private,Never-married,Adm-clerical,Not-in-family,Female
33,0,0,40,13,Private,Never-married,Exec-managerial,Other-relative,Female
21,0,0,35,9,Private,Never-married,Craft-repair,Own-child,Male
48,0,0,46,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
23,0,0,40,13,Private,Never-married,Handlers-cleaners,Not-in-family,Male
71,0,1816,2,10,Self-emp-not-inc,Separated,Sales,Unmarried,Male
29,0,0,60,9,Private,Divorced,Craft-repair,Not-in-family,Male
42,0,0,50,13,Private,Separated,Other-service,Other-relative,Male
25,0,0,40,9,Private,Never-married,Other-service,Unmarried,Female
44,0,0,40,14,Self-emp-inc,Divorced,Exec-managerial,Unmarried,Female
28,0,0,40,9,Private,Never-married,Exec-managerial,Not-in-family,Female
45,0,0,40,14,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male
36,0,0,40,10,Private,Divorced,Other-service,Unmarried,Female
39,0,0,42,12,Federal-gov,Never-married,Exec-managerial,Not-in-family,Male
46,0,0,40,14,State-gov,Widowed,Protective-serv,Unmarried,Male
18,0,0,16,7,Private,Never-married,Handlers-cleaners,Own-child,Male
66,0,0,20,11,Local-gov,Widowed,Prof-specialty,Not-in-family,Female
27,0,1980,40,9,Private,Never-married,Other-service,Not-in-family,Male
28,0,0,40,9,State-gov,Married-civ-spouse,Protective-serv,Husband,Male
51,0,1977,40,10,Private,Married-civ-spouse,Sales,Husband,Male
27,0,0,50,13,Private,Never-married,Craft-repair,Not-in-family,Male
28,0,0,40,13,State-gov,Married-civ-spouse,Prof-specialty,Husband,Male
27,0,0,25,9,Private,Married-spouse-absent,Sales,Unmarried,Female
21,0,0,40,9,Private,Never-married,Craft-repair,Own-child,Male
34,0,0,40,9,Private,Never-married,Handlers-cleaners,Not-in-family,Male
18,0,0,12,9,Private,Never-married,Other-service,Own-child,Male
33,0,0,65,13,Private,Married-civ-spouse,Prof-specialty,Husband,Male
44,0,0,38,10,Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male
43,0,0,40,10,Private,Divorced,Adm-clerical,Not-in-family,Female
30,0,0,45,10,Private,Never-married,Craft-repair,Not-in-family,Male
40,0,0,40,4,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
37,0,0,42,10,Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male
34,0,0,40,9,Private,Married-civ-spouse,Adm-clerical,Husband,Male
41,0,0,40,13,Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Female
31,0,0,50,14,Private,Married-civ-spouse,Prof-specialty,Wife,Female
58,0,0,1,16,State-gov,Married-civ-spouse,Prof-specialty,Husband,Male
38,0,0,28,10,Private,Divorced,Machine-op-inspct,Not-in-family,Female
24,0,0,40,10,Private,Married-civ-spouse,Machine-op-inspct,Husband,Male
41,0,0,40,13,Local-gov,Married-civ-spouse,Craft-repair,Husband,Male
47,0,0,45,10,Private,Married-civ-spouse,Tech-support,Husband,Male
41,0,0,24,13,Federal-gov,Married-civ-spouse,Tech-support,Husband,Male
23,0,0,40,3,Private,Married-civ-spouse,Transport-moving,Other-relative,Male
36,0,0,40,10,Private,Divorced,Craft-repair,Not-in-family,Male
40,14084,0,55,14,Federal-gov,Never-married,Exec-managerial,Not-in-family,Female
35,7298,0,40,14,Private,Married-civ-spouse,Prof-specialty,Other-relative,Male
24,0,0,40,9,Self-emp-not-inc,Never-married,Sales,Not-in-family,Male
26,0,1876,40,14,Private,Never-married,Prof-specialty,Not-in-family,Female
51,0,0,50,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
42,0,1340,40,10,Local-gov,Never-married,Prof-specialty,Not-in-family,Female
37,0,0,35,9,State-gov,Divorced,Adm-clerical,Unmarried,Female
18,0,0,40,7,Private,Never-married,Sales,Own-child,Female
36,7298,0,36,13,Private,Married-civ-spouse,Other-service,Husband,Male
35,0,0,60,9,Private,Divorced,Craft-repair,Not-in-family,Male
58,15024,0,35,9,Self-emp-inc,Married-civ-spouse,Sales,Wife,Female
17,0,0,12,7,Private,Never-married,Sales,Own-child,Female
44,0,0,40,9,Local-gov,Married-civ-spouse,Transport-moving,Husband,Male
37,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
35,0,0,40,10,Private,Never-married,Sales,Not-in-family,Female
60,0,0,40,9,Private,Married-civ-spouse,Craft-repair,Husband,Male
54,0,0,40,4,Self-emp-inc,Married-civ-spouse,Machine-op-inspct,Husband,Male
37,0,0,60,13,Private,Never-married,Exec-managerial,Not-in-family,Male
50,0,0,40,12,Private,Divorced,Sales,Not-in-family,Female
38,0,0,50,13,Private,Married-civ-spouse,Sales,Husband,Male
45,0,0,55,13,Private,Married-civ-spouse,Prof-specialty,Husband,Male
25,0,0,40,6,Private,Never-married,Craft-repair,Not-in-family,Male
31,0,0,40,10,Private,Married-civ-spouse,Handlers-cleaners,Husband,Male
90,0,2206,40,9,Private,Never-married,Other-service,Not-in-family,Male
54,0,0,20,9,Private,Married-civ-spouse,Adm-clerical,Husband,Male
53,0,0,35,1,Local-gov,Never-married,Machine-op-inspct,Not-in-family,Female
18,0,0,40,9,Private,Never-married,Sales,Own-child,Female
66,1409,0,50,9,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male
75,0,0,20,11,Private,Widowed,Adm-clerical,Not-in-family,Female
65,0,0,40,9,Private,Divorced,Adm-clerical,Not-in-family,Female
35,3674,0,40,7,Private,Separated,Transport-moving,Not-in-family,Male
41,0,0,38,9,Private,Divorced,Sales,Unmarried,Female
25,0,0,42,10,Private,Never-married,Adm-clerical,Not-in-family,Male
33,0,0,40,10,Private,Divorced,Craft-repair,Other-relative,Female
28,0,0,55,15,Private,Never-married,Prof-specialty,Not-in-family,Male
59,0,0,40,9,State-gov,Married-civ-spouse,Other-service,Husband,Male
40,0,0,38,10,State-gov,Never-married,Adm-clerical,Not-in-family,Female
41,0,0,50,13,Private,Married-civ-spouse,Exec-managerial,Husband,Male
38,0,0,70,14,Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male
23,0,0,40,9,Private,Never-married,Transport-moving,Own-child,Male
40,0,0,40,13,Private,Married-civ-spouse,Prof-specialty,Husband,Male
41,0,0,20,9,Self-emp-not-inc,Married-civ-spouse,Other-service,Wife,Female
24,0,0,50,12,State-gov,Married-civ-spouse,Protective-serv,Husband,Male
38,0,1741,40,10,Private,Divorced,Craft-repair,Not-in-family,Male
58,0,0,45,9,Private,Married-civ-spouse,Adm-clerical,Husband,Male
32,0,0,34,9,Private,Never-married,Other-service,Not-in-family,Female
40,0,1977,60,12,Private,Married-civ-spouse,Tech-support,Husband,Male
41,0,0,40,15,Private,Married-civ-spouse,Prof-specialty,Wife,Female
42,0,0,40,13,Private,Married-civ-spouse,Adm-clerical,Wife,Female
59,0,0,30,6,Local-gov,Widowed,Other-service,Unmarried,Female
19,0,0,40,10,Local-gov,Never-married,Adm-clerical,Own-child,Male
58,0,0,20,10,Private,Never-married,Transport-moving,Not-in-family,Male
42,0,0,40,9,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male
20,0,0,40,9,Private,Never-married,Other-service,Own-child,Female
32,0,0,30,9,Private,Separated,Other-service,Not-in-family,Female
45,0,0,45,11,Private,Widowed,Exec-managerial,Not-in-family,Female
50,0,0,40,4,Private,Divorced,Craft-repair,Not-in-family,Male
36,0,0,40,13,Private,Divorced,Prof-specialty,Own-child,Female
45,0,0,60,9,Private,Married-civ-spouse,Sales,Husband,Male
17,0,0,12,7,Private,Never-married,Other-service,Own-child,Male
